pairs,sub
Ca P,0.0008
Ca Pa,0.0267
Ca Pb,0.0233
Ca Pd,0.0045
Ca Pm,0.0057
Ca Pr,0.1004
Ca Pt,0.001
Ca Pu,0.0233
Ca Rb,0.0126
Ca Re,0.0009
Ca Rh,0.0016
Ca Ru,0.001
Ca S,0.0004
Ca Sb,0.0021
Ca Sc,0.035
Ca Se,0.001
Ca Si,0.0011
Ca Sm,0.1151
Ca Sn,0.0076
Ca Sr,0.2589
Ca Ta,0.0034
Ca Tb,0.0745
Ca Tc,0.0011
Ca Te,0.0014
Ca Th,0.0454
Ca Ti,0.0046
Ca Tl,0.0106
Ca Tm,0.0605
Ca U,0.0154
Ca V,0.0069
Ca W,0.0011
Ca Y,0.0774
Ca Yb,0.4018
Ca Zn,0.0092
Ca Zr,0.0194
C Ca,0.0003
C Cd,0.0006
C Ce,0.0007
C Cl,0.0073
C Co,0.0024
C Cr,0.0015
C Cs,0.0003
C Cu,0.0012
Cd Ce,0.0038
Cd Cl,0.0007
Cd Co,0.0069
Cd Cr,0.0055
Cd Cs,0.0027
Cd Cu,0.0274
Cd Dy,0.0104
Cd Er,0.011
Cd Eu,0.0077
Cd F,0.0003
Cd Fe,0.0097
Cd Ga,0.0253
Cd Gd,0.0031
Cd Ge,0.0119
Cd H,0.0008
Cd Hf,0.0042
Cd Hg,0.3037
Cd Ho,0.0108
Cd I,0.0015
Cd In,0.1405
Cd Ir,0.005
Cd K,0.0049
Cd La,0.0091
Cd Li,0.054
Cd Lu,0.0104
Cd Mg,0.1624
Cd Mn,0.0249
Cd Mo,0.0023
Cd N,0.0003
Cd Na,0.0186
Cd Nb,0.0026
Cd Nd,0.0099
Cd Ni,0.0139
Cd Np,0.0017
Cd O,0.0002
Cd Os,0.0021
Cd P,0.0015
Cd Pa,0.0025
Cd Pb,0.0523
Cd Pd,0.019
Cd Pm,0.0009
Cd Pr,0.0104
Cd Pt,0.0115
Cd Pu,0.0022
Cd Rb,0.0034
Cd Re,0.0012
Cd Rh,0.0065
Cd Ru,0.0035
Cd S,0.0013
Cd Sb,0.0098
Cd Sc,0.009
Cd Se,0.0014
Cd Si,0.004
Cd Sm,0.0104
Cd Sn,0.0348
Cd Sr,0.0242
Cd Ta,0.0028
Cd Tb,0.0109
Cd Tc,0.0029
Cd Te,0.002
Cd Th,0.0037
Cd Ti,0.0042
Cd Tl,0.0526
Cd Tm,0.01
Cd U,0.0019
Cd V,0.0061
Cd W,0.0011
Cd Y,0.0116
C Dy,0.0003
Cd Yb,0.0294
Cd Zn,0.0954
Cd Zr,0.0045
Ce Cl,0.0001
Ce Co,0.0019
Ce Cr,0.0055
Ce Cs,0.0016
Ce Cu,0.002
Ce Dy,0.1001
Ce Er,0.0881
Ce Eu,0.0484
Ce F,0.0009
Ce Fe,0.0034
Ce Ga,0.0027
Ce Gd,0.0585
Ce Ge,0.0025
Ce H,0.0011
Ce Hf,0.0398
Ce Hg,0.0028
Ce Ho,0.0883
Ce I,0.001
Ce In,0.0054
Ce Ir,0.0011
Ce K,0.0057
Ce La,0.1115
Ce Li,0.0076
Ce Lu,0.0762
