,formula,class>1e-4
246,Li1.6Cr0.6Ti1.4(PO4)3,1
247,Li1.3Cr0.3Ti1.7 (PO4)3,0
248,Li1.3Cr0.3Ge1.7(PO4)3,0
249,Li3Al0.4Sc1.6(PO4)3,0
250,Li1.2Fe0.2Hf1.8(PO4)3,1
251,Li1.2In0.2Hf1.8(PO4)3,1
252,Li1.3In0.3Hf1.7(PO4)3,1
253,Li1.4In0.4Hf1.6(PO4)3,1
254,Li1.1Fe0.1Hf1.9(PO4)3,1
255,Li1.2Lu0.2Hf1.8(PO4)3,0
256,Li1.2Y0.2Hf1.8(PO4)3,0
257,Li1.1Y0.1Hf1.9(PO4)3,0
258,Li1.2Sc0.2Hf1.8(PO4)3,0
259,Li1.3Sc0.3Hf1.7(PO4)3,0
260,Li1.1Lu0.1Hf1.9(PO4)3,0
261,Li1.4Y0.4Hf1.6(PO4)3,0
262,Li1.4Sc0.4Hf1.6(PO4)3,0
263,Li1.3Fe0.3Hf1.7(PO4)3,0
264,Li1.3Lu0.3Hf1.7(PO4)3,0
265,Li1.3Y0.3Hf1.7(PO4)3,0
266,Li1.1Sc0.1Hf1.9(PO4)3,0
267,Li1.4Lu0.4Hf1.6(PO4)3,0
268,Li1.1In0.1Hf1.9(PO4)3,0
269,Li1.3Cr0.3Hf1.7(PO4)3,0
270,Li1.2Cr0.2Hf1.8(PO4)3,0
271,Li1.5Cr0.5Hf1.5(PO4)3,0
272,Li1.1Cr0.1Hf1.9(PO4)3,0
273,Li1.3Eu0.3Ti1.7(PO4)3,0
274,LiZr2(PO4)3,0
275,LiHf2(PO4)3,0
276,Li1.3Al0.3Ge1.4Ti0.3(PO4)3,1
277,Li1.15Y0.15Zr1.85(PO4)3,0
278,LiZr2(PO4)3,0
279,Li0.8Zr1.8Ta0.2(PO4)3,0
280,Li1.3Al0.29Sc0.01Ti1.7(PO4)3,1
281,Li1.3Al0.25Sc0.05Ti1.7(PO4)3,1
282,Li1.3Al0.27Sc0.03Ti1.7(PO4)3,0
283,Li1.3Al0.23Sc0.07Ti1.7(PO4)3,0
284,Li1.02Zr1.98Y0.02(PO4)3,0
285,Li0.9Zr1.9Nb0.1(PO4)3,0
286,Li0.98Zr1.98Nb0.02(PO4)3,0
287,Li1.3Al0.2Y0.1Ti1.7(PO4)3,1
288,Li1.3Al0.1Y0.2Ti1.7(PO4)3,0
289,Li1.3Al0.15Y0.15Ti1.7(PO4)3,0
290,Li1.4Al0.4Ge0.2Ti1.4(PO4)3,1
291,Li1.4Al0.4Ge1.2Ti0.4(PO4)3,1
292,Li1.4Al0.4Ge1.6(PO4)3,1
