element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Tc,17.352772,16.482594,0.0,26.224176,2.2712367,0.0,31.31769,11.044528,0.0052441796,0.0,0.0,11.855084,3.266931,0.0,10.513429,0.0,8.909982,9.4049635,0.0,7.490897,5.7631927,0.0,11.112597,12.686553,3.9885008,13.031436,6.573016,30.566454,11.077756,9.269125,0.0,9.239947,22.83682,9.362991,0.0,26.22836,13.277411,0.0,32.135742,7.351557,12.411969,0.0,9.886885,8.95154,30.094471,9.000556,0.0,0.0,8.080848,7.2771063,0.0
Hg,6.2011847,12.344218,0.0,24.977913,17.290262,0.0,16.468805,31.760326,43.384827,0.0,0.0,32.69517,31.913645,0.0,32.244358,0.0,29.275223,31.75421,0.0,33.362328,25.948328,0.0,31.26653,31.855474,20.274591,34.73456,32.793465,28.821749,18.766422,31.778755,0.0,38.244675,9.235398,28.293839,0.0,8.936333,28.175322,0.0,15.765266,31.151585,33.397053,0.0,29.38545,33.087135,12.242502,35.68006,0.0,0.0,31.767193,34.316578,0.0
Pu,31.607191,23.803373,0.0,18.227701,25.776243,0.0,9.091931,10.695567,30.14066,0.0,0.0,12.803799,12.472073,0.0,7.905899,0.0,11.975396,7.3061433,0.0,3.2061617,15.503628,0.0,9.748694,13.137236,17.192003,16.149937,13.150617,21.288094,20.078442,15.43829,0.0,11.1949215,6.831337,32.693954,0.0,25.60997,12.515448,0.0,7.033355,12.90359,10.89549,0.0,8.663129,10.233553,20.981981,5.632183,0.0,0.0,9.639441,9.556246,0.0
Al,1.9871122,2.8922377,0.0,16.0892,13.063988,0.0,10.123717,42.54754,53.506207,0.0,0.0,39.459072,42.103874,0.0,38.59533,0.0,39.35003,40.251663,0.0,42.439034,36.96462,0.0,37.656498,42.066216,23.195023,45.723812,45.335064,28.492346,1.6969892,48.56415,0.0,44.820145,1.4481956,16.584114,0.0,6.243677,41.487404,0.0,7.372988,38.064648,39.05163,0.0,44.099205,42.045795,8.158671,41.764412,0.0,0.0,40.025455,45.09991,0.0
Tm,23.401142,24.506552,0.0,36.95226,19.568989,0.0,4.0260267,25.514166,46.30085,0.0,0.0,23.726336,18.478077,0.0,21.200739,0.0,24.46401,24.08395,0.0,18.260952,24.909626,0.0,21.496256,21.282713,14.10499,25.164953,25.59112,25.83772,14.471278,27.15745,0.0,24.513447,24.484877,0.0005207062,0.0,28.608402,23.211426,0.0,24.825418,22.616589,21.362013,0.0,26.356192,24.355751,24.877155,26.247515,0.0,0.0,23.38182,19.863403,0.0
Tb,17.325287,17.36231,0.0,31.454214,12.599599,0.0,5.703799,34.385033,46.65403,0.0,0.0,29.710453,28.995102,0.0,30.84679,0.0,28.426222,28.322098,0.0,29.917027,28.18761,0.0,28.937609,30.364918,20.168964,35.24469,35.16362,32.959064,15.534712,35.09939,0.0,37.16771,19.157541,7.4967213,0.0,15.547338,34.992203,0.0,18.574898,30.766548,30.366776,0.0,34.76043,31.751352,20.879604,32.126766,0.0,0.0,34.3853,33.70211,0.0
Ho,21.802937,22.74169,0.0,30.029774,17.449612,0.0,5.631087,35.39418,42.432003,0.0,0.0,28.7995,21.109846,0.0,28.341063,0.0,31.103859,27.795723,0.0,29.933334,28.64301,0.0,27.872164,27.80643,17.670822,33.08373,31.683533,28.813978,7.906398,32.619972,0.0,33.127045,22.804327,2.7412002,0.0,21.16561,27.765123,0.0,18.723686,29.392473,26.510437,0.0,31.19219,32.30259,22.877195,31.137827,0.0,0.0,32.051132,31.612906,0.0
Nb,10.08633,10.770007,0.0,23.142563,17.599102,0.0,14.273731,39.130634,51.22361,0.0,0.0,34.713764,34.856205,0.0,33.59285,0.0,33.243,34.760033,0.0,37.78731,35.06054,0.0,31.524916,40.198402,18.639032,38.57362,37.488163,36.541664,5.082683,43.66209,0.0,41.333546,6.711506,15.963781,0.0,15.515635,40.170204,0.0,3.2778904,33.69211,31.878538,0.0,36.35749,37.15762,16.71923,36.398666,0.0,0.0,35.916218,39.37844,0.0
Ge,4.734696,9.243304,0.0,16.748158,11.50345,0.0,9.29798,38.2277,52.43548,0.0,0.0,34.284336,39.604733,0.0,36.595062,0.0,35.22628,34.503307,0.0,38.063442,30.769072,0.0,34.02187,39.021507,22.120926,40.439217,43.92222,29.028055,13.837223,39.576954,0.0,41.805336,7.9764485,24.036339,0.0,7.9193892,36.675884,0.0,18.489819,32.25828,37.327175,0.0,40.175808,35.57961,7.8707247,40.059532,0.0,0.0,36.728115,43.087444,0.0
Zr,14.465832,12.576501,0.0,25.625916,18.553236,0.0,11.821149,34.77831,50.34348,0.0,0.0,33.298206,33.702805,0.0,33.129524,0.0,32.041443,33.97869,0.0,33.550446,32.612537,0.0,30.53922,39.17527,18.199286,37.941967,36.722282,35.94885,6.570882,40.912086,0.0,37.70981,10.7979555,10.85298,0.0,18.29058,38.019745,0.0,5.8755374,33.64401,31.98927,0.0,38.22133,34.070736,18.863771,32.878296,0.0,0.0,35.262863,36.00437,0.0
Cd,5.44595,7.3182745,0.0,21.290468,15.622544,0.0,11.430393,40.54923,49.209072,0.0,0.0,37.120937,36.51584,0.0,36.138313,0.0,34.709496,37.127716,0.0,39.490982,31.47616,0.0,35.233055,40.299297,21.666344,43.673725,42.788864,30.862556,7.543836,42.838245,0.0,41.794327,7.1347356,18.411913,0.0,10.918528,37.397396,0.0,12.6583185,32.41061,37.979053,0.0,40.26333,37.967274,11.124736,40.669178,0.0,0.0,36.685024,41.76585,0.0
V,4.7367268,7.282829,0.0,18.686222,13.13351,0.0,16.238523,38.491467,50.347145,0.0,0.0,36.90615,36.8878,0.0,36.10902,0.0,34.885857,36.3341,0.0,38.69485,30.985722,0.0,34.58621,39.39196,18.523275,40.218372,41.591103,33.908253,6.2187886,45.232906,0.0,40.720097,4.8383493,20.188309,0.0,11.69503,37.668156,0.0,14.249108,32.68102,35.700123,0.0,39.300728,37.152184,10.412593,41.625813,0.0,0.0,34.613167,39.47892,0.0
Sr,7.789579,8.805278,0.0,22.018047,10.200111,0.0,5.173147,42.984,53.997456,0.0,0.0,35.6823,36.811,0.0,35.34489,0.0,35.87344,35.62273,0.0,39.937946,35.91362,0.0,32.288616,38.627678,20.484842,44.132935,44.26648,32.255196,7.2671304,42.794792,0.0,44.651207,12.662471,13.440712,0.0,10.332024,36.74663,0.0,10.685772,30.066702,36.6701,0.0,44.054016,40.181908,13.1987915,39.74509,0.0,0.0,40.729027,43.197918,0.0
Ni,2.912619,1.8709453,0.0,16.600527,11.062487,0.0,9.26809,41.083797,52.84544,0.0,0.0,39.292583,42.628952,0.0,39.404884,0.0,38.012386,38.853188,0.0,40.532875,37.33203,0.0,37.240414,41.16843,23.570528,46.401596,47.35583,29.24499,1.8947289,46.765945,0.0,45.048355,2.6844463,15.623622,0.0,6.253194,41.591324,0.0,8.514219,34.691875,38.36289,0.0,45.257286,41.25855,7.429821,42.976852,0.0,0.0,41.19924,42.501358,0.0
Rh,10.376044,13.522032,0.0,18.077232,23.59301,0.0,25.478067,35.859703,41.342236,0.0,0.0,30.101786,27.873947,0.0,30.143387,0.0,25.656317,28.654852,0.0,30.339527,27.259167,0.0,27.723919,36.772938,10.015482,31.205675,32.00517,24.954802,15.678064,30.52209,0.0,35.500366,13.17235,23.800331,0.0,20.339994,29.369656,0.0,12.205291,24.49554,29.523468,0.0,31.386913,29.984957,19.106743,34.997227,0.0,0.0,28.31631,32.71018,0.0
Th,21.304482,29.570034,0.0,41.548824,0.0,0.0,10.904035,21.35392,33.24967,0.0,0.0,17.349533,15.841367,0.0,18.079773,0.0,6.90931,18.708506,0.0,7.827363,17.84548,0.0,15.8908205,16.830442,4.5348806,18.613274,28.35068,23.003864,19.164927,13.182902,0.0,29.713758,17.813822,20.409733,0.0,16.347185,20.324518,0.0,6.709993e-05,20.350662,18.929947,0.0,21.16958,17.567274,30.546942,16.294872,0.0,0.0,24.048851,16.496058,0.0
