element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Co,0.6946000456809998,-1.0880991220474243,0.7076574563980103,-12.506049156188965,0.9168455004692078,-0.4444591999053955,-0.23876257240772247,-3.428499460220337,12.822772979736328,-0.7048495411872864,-3.6114614009857178,-3.5534749031066895,-1.519659161567688,1.0417213439941406,-0.9804182648658752,-20.52733612060547,12.593374252319336,18.452674865722656,-3.487692356109619,22.15526008605957
Ni,-7.785119533538818,-8.171024322509766,5.981515884399414,1.9901821613311768,-29.980064392089844,-4.792417049407959,4.929696083068848,-5.74724006652832,12.440518379211426,0.8825746178627014,-11.234251976013184,-4.0595173835754395,5.892366409301758,-4.382531642913818,-2.7421114444732666,-19.00992202758789,17.101364135742188,19.88735580444336,-3.298171281814575,24.088685989379883
Cu,9.641385078430176,4.596640586853027,-7.111394882202148,31.00265121459961,5.484440326690674,-0.4709256887435913,11.233800888061523,-0.6056753396987915,-0.30498749017715454,-2.5487775802612305,-4.517460346221924,2.8574962615966797,8.248797416687012,-2.2967286109924316,-0.22368526458740234,0.5421053171157837,14.934867858886719,14.967545509338379,-2.979315757751465,20.619096755981445
Zn,-0.0677354484796524,-9.984282493591309,-1.5653483867645264,-2.598686695098877,4.242929935455322,-0.4776538610458374,9.050121307373047,2.9478812217712402,-6.258113384246826,-0.900737464427948,4.378825664520264,-8.295161247253418,-4.792300224304199,-7.905184745788574,6.598995685577393,11.055553436279297,8.274023056030273,11.691607475280762,-2.4979066848754883,21.39234161376953
Ga,-0.011927668936550617,2.8360748291015625,2.259331226348877,2.0336837768554688,-2.359010934829712,-3.128741979598999,-6.352152347564697,-0.208590567111969,7.781460762023926,-3.395200252532959,14.402974128723145,2.357766628265381,7.548610210418701,-5.197517395019531,11.678946495056152,6.003030300140381,-11.130406379699707,7.487769603729248,-2.3920223712921143,20.35677146911621
Ge,2.3447563648223877,2.8226566314697266,1.1106538772583008,-0.8251927495002747,0.13323894143104553,4.405863285064697,2.6493349075317383,5.996646881103516,4.914854526519775,-2.3984436988830566,-22.574384689331055,0.7340648770332336,-2.066767930984497,-1.523482322692871,13.338223457336426,4.9197564125061035,-25.206260681152344,11.647255897521973,-1.2524313926696777,17.999059677124023
As,3.322390079498291,0.18507219851016998,0.5900166630744934,-1.3676751852035522,0.3512914180755615,-4.573034763336182,4.395115375518799,-18.305891036987305,-3.978708267211914,5.727659225463867,0.9830904603004456,-3.650085926055908,2.5076987743377686,3.7798545360565186,-3.588608980178833,1.7189388275146484,-12.54151725769043,3.375189781188965,-0.39601725339889526,11.819061279296875
Se,0.2580678462982178,0.7147034406661987,0.25109735131263733,0.3599565923213959,0.16126063466072083,0.09569612145423889,0.6435741782188416,0.43201744556427,2.2711923122406006,-4.251639366149902,1.2370209693908691,4.37849235534668,-6.75340461730957,-15.984437942504883,-25.23764419555664,2.018095016479492,-9.774811744689941,3.479215383529663,5.9915266036987305,11.038061141967773
Br,0.3916936218738556,0.07402197271585464,-0.9896599054336548,0.2904607355594635,0.1913290023803711,0.39052698016166687,1.6995315551757812,5.391580104827881,3.7032551765441895,18.005949020385742,2.0257508754730225,0.9494802951812744,1.458158254623413,1.947878122329712,-4.60144567489624,2.4101288318634033,-2.0602121353149414,1.542961835861206,1.1483027935028076,6.5296735763549805
Kr,-0.010975047945976257,0.011781035922467709,-0.019178932532668114,0.04124331474304199,-0.004958647303283215,0.02735869027674198,-0.010214054957032204,0.0012149781687185168,0.0070397392846643925,-0.0043862503953278065,-0.0137735391035676,-0.026794852688908577,-0.03404277190566063,0.013523533008992672,0.006981419399380684,0.014552715234458447,0.01943947933614254,0.019026797264814377,0.001763911102898419,0.03222675248980522
