pairs,sub
Ba Np,0.997421483739014
Ba O,0.9974752387590552
Ba Os,0.9986248054385564
Ba P,0.9983864224463794
Ba Pa,0.9978239085891737
Ba Pb,0.999094413169296
Ba Pd,0.997753687931518
Ba Pm,0.9955215599389906
Ba Pr,0.9987867137345118
Ba Pt,0.9981455053585213
Ba Pu,0.9979509713307431
Ba Rb,0.9987099133260136
Ba Re,0.9982780695600406
Ba Rh,0.9981585663706798
Ba Ru,0.9979636246154714
Ba S,0.9975702756344573
Ba Sb,0.9984012724451704
Ba Sc,0.9982493997778945
Ba Se,0.9981223226978415
Ba Si,0.9984443571438063
Ba Sm,0.9986180497777188
Ba Sn,0.9985827420628923
Ba Sr,0.999006224497837
Ba Ta,0.9988836552244913
Ba Tb,0.9980147396388089
Ba Tc,0.9964133944340299
Ba Te,0.9978464635296376
Ba Th,0.9981427831142016
Ba Ti,0.999056094442867
Ba Tl,0.9980086321329004
Ba Tm,0.9975778677465706
Ba U,0.9974126702076881
Ba V,0.9982637571642509
Ba W,0.9971789543139687
Ba Y,0.9982823008276496
Ba Yb,0.9985445808216195
Ba Zn,0.998848837337617
Ba Zr,0.9984811923590264
B Ba,0.9984375410451035
B Be,0.9929812943692544
B Bi,0.9985788046786679
B Br,0.9987366578167808
B C,0.998691545333049
B Ca,0.9979681430603585
B Cd,0.9969339809818896
B Ce,0.9962084991018492
B Cl,0.9981546282536505
B Co,0.9972061441509472
B Cr,0.9985578252004234
B Cs,0.9976572825644321
B Cu,0.9960309598224819
B Dy,0.9957903684090565
Be Bi,0.9919517675226649
Be Br,0.9931136071701611
Be C,0.9931274041779545
Be Ca,0.99118585083411
Be Cd,0.994718409249251
Be Ce,0.9942392772806619
Be Cl,0.9917430201658661
Be Co,0.9926625067261707
Be Cr,0.9946178987226562
Be Cs,0.9938816466070759
Be Cu,0.9956578049552025
Be Dy,0.9950354070249239
Be Er,0.9943537398019305
Be Eu,0.9942329079429352
Be F,0.9924425903118075
Be Fe,0.9935445921690823
Be Ga,0.9933450711826165
Be Gd,0.9941382272824082
Be Ge,0.994541587201069
Be H,0.9923405539425544
Be Hf,0.9932638783922693
Be Hg,0.9926369637354578
Be Ho,0.994700516100047
Be I,0.9892564572390348
Be In,0.9949501089280628
Be Ir,0.9950209874078573
Be K,0.9933793445145245
Be La,0.9919746944361955
Be Li,0.9931172826445009
Be Lu,0.993518082454529
Be Mg,0.9937711739452597
Be Mn,0.9940146103373163
Be Mo,0.9930174818897145
Be N,0.9920313071685968
Be Na,0.9918359433982742
Be Nb,0.9939411411984896
Be Nd,0.9932377982191251
Be Ni,0.9932638954073012
Be Np,0.9918092804434439
Be O,0.9913528617490521
Be Os,0.9939509539818956
Be P,0.9932832548533621
Be Pa,0.9902809994618449
Be Pb,0.9923745958103842
Be Pd,0.9937740042841519
Be Pm,0.9941043974453736
Be Pr,0.9940102060789627
Be Pt,0.9947564795715996
Be Pu,0.9918753684572686
B Er,0.997759553526677
Be Rb,0.9931236690154963
Be Re,0.9937365618407317
Be Rh,0.9944796555272141
Be Ru,0.9947198177192171
Be S,0.9926058821156123
Be Sb,0.9952528631185997
Be Sc,0.9933956596383796
Be Se,0.9934227134010634
Be Si,0.993784330475983
Be Sm,0.9934517710463386
Be Sn,0.994868333373157
Be Sr,0.9935080888474543
Be Ta,0.9944736608285483
Be Tb,0.9940113666387052
Be Tc,0.9929545860007207
Be Te,0.9938761875421062
Be Th,0.9933825771097732
Be Ti,0.9943826291914174
Be Tl,0.9941188714180433
Be Tm,0.9927375390013674
Be U,0.9927596112015381
B Eu,0.9971911594420073
Be V,0.9932398549242276
Be W,0.9924218721735294
Be Y,0.993141742887546
Be Yb,0.993420878098312
Be Zn,0.9934511256876446
Be Zr,0.9947549176200712
B F,0.9985788037220559
B Fe,0.998144023995533
B Ga,0.9984534142161419
B Gd,0.9968268434964259
B Ge,0.9980098642385792
B H,0.9983143783655022
B Hf,0.9982686420410285
B Hg,0.9973373567714904
B Ho,0.9970099619990677
B I,0.9960149992714089
Bi Br,0.9985947590941298
Bi C,0.9973325336892549
Bi Ca,0.9979520710348623
Bi Cd,0.9980643823836307
Bi Ce,0.9977506134233459
Bi Cl,0.997252270259716
