,composition,class>1e-4
196,Li0.27La0.59TiO3 ,1
197,Li0.15La0.66Ti0.85Al0.15O3,0
198,Li0.30La0.66Ti0.70Al0.30O3,0
199,Li0.20La0.66Ti0.80Al0.20O3,0
200,Li0.25La0.66Ti0.75Al0.25O3,0
201,LiSrTiNbO6,0
202,LiSr2Ti2NbO9,0
203,LiSr2Ti2TaO9,0
204,Li6SiO4Cl2,0
205,Li1.15Y0.15Zr1.85(PO4)3,0
206,LiSr1.65Ti1.3Ta1.7O9,0
207,LiSrTiTaO6,1
208,Li0.15La0.51Sr0.15TiO3,0
209,Li0.25La0.41Sr0.25TiO3,0
210,Li0.3Sr0.6Ti0.40Fe0.10Ta0.5O3,0
211,Li0.3Sr0.6Ti0.35Fe0.15Ta0.5O3,0
212,Li0.3Sr0.6Ti0.20Fe0.30Ta0.5O3,0
213,Li0.1Sr0.8Ti0.7Nb0.3O3,0
214,La0.313Li0.06NbO3,0
215,La0.303Li0.09NbO3,0
216,La0.273Li0.18NbO3,0
217,La0.283Li0.15NbO3,0
218,LiSr1.65Ti1.3Nb1.7O9,0
219,Li3AlS3,0
220,Li1.5Hf1.5Al0.5P3O12,1
221,Li11AlP2S12,1
222,Li2.88PO3.73N0.14,0
223,Li14ZnGe4O16,0
224,Li5La3Nb2O12,0
225,Li9.81Sn0.81P2.19S12,1
226,Li10.35Si1.35P1.65S12,1
227,Li4B7O12Cl,0
228,LiAlH4,0
229,Li13.6Si2.8S1.2O16,0
230,Li3N,1
231,Li2Ca(NH)2,0
232,Li2NH,1
233,Li4BN3H10,1
234,Li3VO4,0
235,LiLa(TiO3)2,1
236,Li5La3Bi2O12,0
237,Li3Sc2P3O12,0
238,Li3P,1
239,LiI,0
240,Li3.5Ge0.5V0.5O4,0
241,Li2Ge7O15,0
242,Li4GeO4,0
243,Li4SiO4,0
244,Li6NiBr8,0
245,Li5NI2,0
246,Li6.35P0.65Si0.35S5Br,1
247,LiHf2(PO4)3,0
248,LiSn2(PO4)3,0
249,Li0.96Ga0.96Si2.04O6,0
250,Li0.68Ga0.68Si2.33O6,0
251,LiGaSiO4,0
252,Li3Fe(MoO4)3,0
253,La0.55Li0.36Ti0.992Al0.008O3,1
254,Li0.2Zr1.2Nb0.8(PO4)3,0
255,Li1.6Ga0.6Ti1.4(PO4)3,0
