formula,Li_features,natoms_insum
Li3Fe(MoO4)3,"[1.26000e-01 8.00000e-03 8.00000e-03 8.00000e-03 8.00000e-03 8.00000e-03
 8.00000e-03 8.00000e-03 8.00000e-03 2.17200e+00 2.44000e-01 2.17600e+00
 2.06400e+00 1.98000e+00 1.51200e+00 6.57600e+00 5.69600e+00 3.03200e+00
 1.17700e+01 7.08000e+00 8.00000e-03 8.00000e-03 1.75575e+00 8.17600e+00
 8.00000e-03 8.00000e-03 8.00000e-03 1.36800e+00 2.34400e+00 9.04000e-01
 3.04000e-01 1.37200e+00 1.04800e+00 8.00000e-03 8.00000e-03 8.00000e-03
 8.00000e-03]",16
LiAlH4,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiFePO4 ,"[2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 1.986e+00
 1.250e+00 2.482e+00 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 2.000e-03 1.098e+00 2.514e+00 2.314e+00 1.574e+00
 2.338e+00 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03]",4
Li10GeP2S12,"[1.983 0.004 0.004 0.004 0.004 0.004 1.596 2.228 2.268 0.291 1.012 0.087
 0.684 0.707 1.828 2.832 2.812 1.824 2.156 1.908 1.44  1.548 0.004 0.004
 0.004 0.004 0.004 0.004 0.004 0.004 0.123 0.344 0.256 1.376 0.44  0.664
 0.508]",8
LiF,"[1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 1.000e-03 3.950e-01 1.909e+00 8.530e-01 1.000e-03
 1.000e-03 1.000e-03 1.000e-03 3.110e-01 7.490e-01 2.170e-01 1.000e-03
 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03]",2
LiZr2(PO4)3,"[9.0000e-03 8.5770e+00 1.1229e+01 3.9570e+00 3.3000e-02 9.0000e-03
 8.6100e-01 3.0570e+00 5.0490e+00 2.1255e+00 1.9590e+00 1.8210e+00
 2.2830e+00 5.7300e-01 9.0000e-03 9.0000e-03 9.0000e-03 2.3010e+00
 2.3010e+00 1.7250e+00 2.8980e+00 3.1530e+00 1.7475e-01 6.8250e+00
 8.8500e-01 1.7610e+00 1.1490e+00 2.2590e+00 2.2350e+00 2.7750e+00
 9.0000e-03 9.0000e-03 9.0000e-03 2.3490e+00 6.4500e-01 1.2210e+00
 9.9300e-01]",18
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li10GeP2S12,"[5.6   0.016 0.016 0.016 0.016 0.016 0.016 0.016 0.016 8.424 3.94  9.008
 7.396 6.056 4.72  2.656 2.432 7.912 7.056 7.464 3.248 3.12  0.254 1.276
 1.018 3.016 5.096 1.468 2.404 2.084 1.351 1.864 2.924 6.368 0.68  2.263
 1.96 ]",32
Li7La3Zr2O12 ,"[26.526  0.03   0.03   0.498 21.438 14.478  2.13   7.026  6.174  4.422
  4.134  2.706  5.787  5.826  4.494  4.35   4.83   4.638  3.87   3.726
  4.014  5.31   6.412  4.146  3.294  2.622  3.006  2.898  2.178  2.514
  2.61   2.19   2.082  4.014  1.506  4.239  3.15 ]",60
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiAlSi2O6,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiF,"[5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04
 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04
 5.000e-04 5.000e-04 5.000e-04 2.005e-01 9.995e-01 5.005e-01 5.000e-04
 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04
 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04
 5.000e-04 5.000e-04]",1
Li3N,"[1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 5.970e-01 1.413e+00 3.010e-01 1.277e+00 1.295e+00
 6.810e-01 7.630e-01 1.107e+00 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03]",2
LiI,"[2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 7.700e-02
 5.300e-01 3.654e+00 2.458e+00 6.900e-01 3.538e+00 3.046e+00 2.574e+00
 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.590e+00 7.420e-01
 1.890e+00 8.580e-01]",4
Li3PO4,"[2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 3.558e+00 6.940e-01 3.350e+00 2.466e+00 1.750e+00
 2.000e-03 2.000e-03 2.000e-03 1.034e+00 2.934e+00 1.706e+00 2.000e-03
 2.000e-03 7.820e-01 3.362e+00 2.000e-03 2.000e-03 2.000e-03 1.126e+00
 1.282e+00 7.580e-01 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03]",4
LiFePO4 ,"[2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 3.798e+00 3.740e-01 3.770e+00 2.546e+00 1.898e+00
 2.000e-03 2.000e-03 2.000e-03 1.246e+00 2.978e+00 1.758e+00 2.000e-03
 2.000e-03 8.410e-01 3.422e+00 2.000e-03 2.000e-03 2.000e-03 1.142e+00
 1.310e+00 8.410e-01 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03]",4
Li10GeP2S12,"[7.2840e+00 2.0000e-02 3.6000e-02 1.4720e+00 2.4596e+01 1.0660e+01
 3.1080e+00 4.3880e+00 8.6600e+00 8.0560e+00 4.1550e+00 9.0920e+00
 7.5600e+00 6.0200e+00 3.5240e+00 1.8440e+00 2.0680e+00 4.3880e+00
 2.6120e+00 4.0040e+00 2.0000e-02 2.0000e-02 2.0000e-02 2.0000e-02
 2.3040e+00 3.9080e+00 4.4200e+00 1.3710e+00 2.8080e+00 2.8720e+00
 1.1600e+00 2.4680e+00 1.9160e+00 9.6720e+00 2.1510e+00 4.5920e+00
 4.4080e+00]",40
LiF,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li3PO4,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li3PO4,"[13.454  7.197  9.356  6.286  7.014  2.082  2.12   2.55   2.236  0.697
  0.666  0.573  0.782  0.786  0.018  0.018  0.018  4.886  4.134  4.846
  3.858  3.882  1.475  5.093  0.458  0.376  0.826  1.018  1.361  1.726
  1.44   2.081  3.124  2.03   0.755  0.696  1.425]",36
Li3N,"[2.00000e-03 2.00000e-03 2.00000e-03 2.00000e-03 2.00000e-03 2.00000e-03
 2.00000e-03 2.00000e-03 2.00000e-03 9.43000e-01 2.99000e+00 5.49750e-01
 1.29075e+00 1.36000e+00 2.00000e-03 2.00000e-03 2.00000e-03 2.00000e-03
 2.00000e-03 2.00000e-03 2.00000e-03 2.00000e-03 8.12000e-01 8.31000e-01
 2.00000e-03 2.00000e-03 2.00000e-03 2.00000e-03 2.00000e-03 2.00000e-03
 2.00000e-03 2.00000e-03 2.00000e-03 1.08200e+00 1.12000e-01 3.92000e-01
 6.32000e-01]",4
LiF,"[5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04
 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04
 5.000e-04 5.000e-04 5.000e-04 2.005e-01 9.995e-01 5.005e-01 5.000e-04
 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04
 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04
 5.000e-04 5.000e-04]",1
LiFePO4 ,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li3PO4,"[2.340e-01 6.120e-01 4.916e+00 7.556e+00 5.560e-01 7.600e-02 4.000e-03
 4.000e-03 4.000e-03 2.596e+00 5.956e+00 2.314e+00 3.940e+00 4.004e+00
 4.440e-01 1.980e+00 2.500e+00 4.000e-03 4.000e-03 4.000e-03 2.036e+00
 4.236e+00 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03
 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03
 4.000e-03 4.000e-03]",8
Li4SnS4,"[5.088 0.016 0.016 0.016 2.464 7.472 0.016 0.016 0.016 8.595 2.336 7.944
 8.38  7.16  4.928 2.848 3.104 9.052 7.184 6.866 3.536 2.976 0.016 2.896
 0.812 3.352 5.464 0.016 0.016 0.016 1.    0.872 2.112 5.48  0.808 2.5
 2.076]",32
LiF,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiAlH4,"[1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 5.670e-01 8.430e-01 2.690e-01 1.277e+00 1.295e+00
 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 3.060e-01 9.130e-01 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03]",2
Li3PO4,"[2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 3.798e+00 4.940e-01 3.706e+00 2.566e+00 1.886e+00
 2.000e-03 2.000e-03 2.000e-03 9.860e-01 3.294e+00 1.862e+00 2.000e-03
 2.000e-03 8.420e-01 3.422e+00 2.000e-03 2.000e-03 2.000e-03 1.106e+00
 1.334e+00 7.300e-01 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03]",4
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li3N,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li7La3Zr2O12 ,"[6.000e-03 6.000e-03 6.000e-03 6.000e-03 6.000e-03 6.000e-03 6.000e-03
 6.000e-03 6.000e-03 6.540e+00 4.278e+00 6.090e+00 5.376e+00 4.824e+00
 6.000e-03 6.000e-03 6.000e-03 6.000e-03 6.000e-03 6.000e-03 6.000e-03
 6.000e-03 2.204e+00 3.582e+00 6.000e-03 6.000e-03 6.000e-03 8.400e-02
 1.668e+00 9.960e-01 6.000e-03 6.000e-03 6.000e-03 6.000e-03 6.000e-03
 6.000e-03 6.000e-03]",12
LiF,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li3Fe(MoO4)3,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiFePO4 ,"[2.000e-03 2.000e-03 2.000e-03 2.000e-03 4.660e-01 3.998e+00 2.000e-03
 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 2.000e-03 1.254e+00 2.902e+00 1.726e+00 2.000e-03
 2.000e-03 8.260e-01 3.338e+00 2.000e-03 2.000e-03 2.000e-03 1.122e+00
 1.294e+00 8.020e-01 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03]",4
Li10GeP2S12,"[13.354  5.722  1.626  2.37   0.89   0.136  1.114  0.626  0.474  6.238
  2.21   8.402  6.642  4.754  0.018  0.018  0.018  8.33   3.762  4.13
  3.33   2.938  0.026  5.114  0.774  3.474  5.426  0.05   0.184  0.104
  0.066  0.168  0.082  0.018  0.018  0.018  0.018]",36
Li2NH,"[0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001
 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001
 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.689 0.001 0.565
 0.537]",2
Li10SnP2S12,"[7.5400e+00 2.0000e-02 5.2000e-02 1.5880e+00 2.1476e+01 1.2788e+01
 2.0000e-02 2.0000e-02 2.0000e-02 9.7880e+00 4.8120e+00 1.1568e+01
 1.0344e+01 9.3560e+00 2.7720e+00 1.3160e+00 1.5560e+00 7.3200e+00
 8.1680e+00 8.3000e+00 6.1320e+00 6.1960e+00 2.9000e-02 1.1400e+00
 2.8040e+00 4.9240e+00 5.5280e+00 2.0320e+00 4.9480e+00 5.7760e+00
 5.9200e-01 7.8800e-01 9.1600e-01 9.9160e+00 1.5190e+00 4.0360e+00
 4.6080e+00]",40
Li3P,"[1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.999e+00
 5.630e-01 7.250e-02 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 1.000e-03 1.690e-01 2.270e-01 4.825e-01 1.000e-03
 1.000e-03 1.000e-03 1.170e-01 7.250e-02 4.165e-01 1.000e-03 1.000e-03
 1.000e-03 1.000e-03]",2
LiBH4,"[0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001
 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001
 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001
 0.001]",2
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiBH4,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li3N,"[1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.1750e-01 1.0005e+00
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.9995e+00
 4.1900e-01 7.3000e-02 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5255e+00 2.5750e-01 4.1000e-02
 6.5150e-01]",3
Li2Ca(NH)2,"[5.0000e-03 1.0000e-03 1.0000e-03 1.0000e-03 1.0000e-03 1.0000e-03
 1.0000e-03 1.0000e-03 1.0000e-03 2.1900e-01 1.9205e+00 4.2500e-02
 5.5700e-01 5.7850e-01 1.0000e-03 1.0000e-03 1.0000e-03 1.0000e-03
 1.0000e-03 1.0000e-03 4.3700e-01 5.0100e-01 1.0000e-03 1.0000e-03
 1.0000e-03 1.0000e-03 1.0000e-03 1.5900e-01 3.2300e-01 6.8300e-01
 1.0000e-03 1.0000e-03 1.0000e-03 1.0000e-03 1.0000e-03 1.0000e-03
 1.0000e-03]",2
Li3N,"[1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.1750e-01 1.0005e+00
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.9995e+00
 4.1900e-01 7.3000e-02 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5615e+00 2.9950e-01 4.1000e-02
 6.6150e-01]",3
Li3N,"[1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.1750e-01 1.0005e+00
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.9995e+00
 4.1900e-01 7.3000e-02 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5795e+00 3.2150e-01 3.9000e-02
 6.6950e-01]",3
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiBH4,"[0.008 0.008 0.008 0.008 0.008 0.008 1.508 4.004 0.612 0.884 5.234 0.2
 1.694 1.754 0.008 0.008 0.008 1.016 1.274 2.588 0.008 0.008 0.008 0.008
 0.196 1.064 1.3   2.264 3.524 3.17  1.172 0.986 1.484 0.008 0.008 0.008
 0.008]",16
Li7La3Zr2O12,"[1.4380e+00 4.3740e+00 7.9660e+00 3.6940e+00 5.4000e-02 2.2000e-02
 5.5660e+00 1.1022e+01 7.2780e+00 1.2574e+01 1.4634e+01 1.2281e+01
 1.5230e+01 1.2970e+01 2.2220e+00 5.1500e+00 5.7420e+00 1.4000e-02
 1.4000e-02 1.4000e-02 1.4000e-02 1.4000e-02 1.7540e+00 5.5660e+00
 1.4000e-02 1.4000e-02 1.4000e-02 1.5770e+00 2.9700e+00 1.8460e+00
 1.9020e+00 2.2700e+00 2.2540e+00 7.4220e+00 2.0060e+00 3.4700e+00
 3.0700e+00]",28
Li5La3Nb2O12 ,"[ 2.808   10.128   11.352   10.209    0.465    0.072    4.68     9.78
  3.192    0.012    0.012    0.012    0.012    0.012    2.064    3.612
  3.18     5.412    4.656    5.205    2.316    2.472    0.23275  4.404
  2.892    3.372    3.141    2.508    2.769    2.868    1.701    2.376
  2.652    0.012    0.012    0.012    0.012  ]",24
Li7La3Zr2O12,"[1.2940e+00 3.5020e+00 7.9900e+00 4.4700e+00 7.8000e-02 2.2000e-02
 5.5660e+00 1.1374e+01 7.4060e+00 1.2670e+01 1.4734e+01 1.2153e+01
 1.5458e+01 1.3026e+01 1.4000e-02 1.4000e-02 1.4000e-02 1.4000e-02
 1.4000e-02 1.4000e-02 1.4000e-02 1.4000e-02 1.7740e+00 5.6300e+00
 1.4000e-02 1.4000e-02 1.4000e-02 1.5660e+00 2.8680e+00 1.7940e+00
 1.9180e+00 2.3340e+00 2.2700e+00 6.6780e+00 2.0060e+00 3.5020e+00
 3.0780e+00]",28
Li3N,"[ 1.254  23.236  13.972   2.542   0.028   0.028   0.028   0.028   0.028
  7.134  26.442   5.454  10.2205 10.444   6.196   6.364   7.108   3.4945
  1.198   1.264   3.688   3.748   0.028   0.028   0.028   0.028   0.028
  3.145  12.106  20.064   0.028   0.028   0.028  21.04    2.056   5.416
  8.86  ]",56
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li3N,"[1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.1750e-01 1.0005e+00
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.9995e+00
 4.1900e-01 7.3000e-02 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5075e+00 2.3550e-01 3.9000e-02
 6.4750e-01]",3
Li2NH,"[1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 1.590e-01 1.999e+00 1.500e-02 4.690e-01 4.910e-01
 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 4.310e-01 7.850e-01 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03]",2
Li3N,"[0.187  0.003  0.003  0.003  0.003  0.003  2.001  0.565  0.0745 0.003
 0.003  0.003  0.003  0.003  0.003  0.003  0.003  0.003  0.003  0.003
 0.003  0.003  0.003  0.003  0.4805 0.0565 0.773  0.003  0.003  0.003
 0.094  0.603  1.771  0.003  0.003  0.003  0.003 ]",6
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiBH4,"[1.340e-01 5.000e-02 1.066e+00 3.598e+00 8.860e-01 1.180e-01 2.000e-03
 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 1.606e+00
 1.954e+00 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 5.220e-01
 1.050e+00 8.500e-01 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03]",4
LiBH4,"[2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 1.518e+00 6.940e-01 3.734e+00 2.018e+00 2.022e+00
 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 1.666e+00
 2.066e+00 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 5.740e-01
 1.070e+00 8.420e-01 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03]",4
Li10GeP2S12,"[1.1800e+00 1.7952e+01 1.1123e+01 2.1710e+00 1.6000e-02 1.6000e-02
 6.6560e+00 8.9280e+00 7.2800e+00 7.5600e+00 4.3480e+00 7.3680e+00
 7.6360e+00 6.1680e+00 3.2640e+00 3.3280e+00 4.1280e+00 9.6480e+00
 7.2840e+00 6.5360e+00 2.6880e+00 2.1680e+00 8.0000e-03 3.7920e+00
 2.8960e+00 4.8520e+00 6.8040e+00 1.6000e-02 1.6000e-02 1.6000e-02
 1.2390e+00 1.9440e+00 3.2280e+00 6.9160e+00 8.8300e-01 2.2120e+00
 2.7080e+00]",32
