formula,Li_features,natoms_insum
Li2NH,"[1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 1.590e-01 1.999e+00 1.500e-02 4.690e-01 4.910e-01
 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 4.310e-01 7.850e-01 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03]",2
Li3N,"[1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.1750e-01 1.0005e+00
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.9995e+00
 4.1900e-01 7.3000e-02 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5615e+00 2.9950e-01 4.1000e-02
 6.6150e-01]",3
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li3N,"[1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.1750e-01 1.0005e+00
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.9995e+00
 4.1900e-01 7.3000e-02 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5575e+00 2.9300e-01 4.3000e-02
 6.5950e-01]",3
LiBH4,"[4.0000e-03 4.0000e-03 3.2650e-01 3.1000e+00 3.6580e+00 6.1000e-01
 4.0000e-03 4.0000e-03 4.0000e-03 4.3480e+00 3.3400e-01 5.1820e+00
 4.9945e+00 3.4060e+00 4.0000e-03 4.0000e-03 4.0000e-03 2.2920e+00
 2.9320e+00 2.6940e+00 4.0000e-03 4.0000e-03 4.0000e-03 4.0000e-03
 4.0000e-03 4.0000e-03 4.0000e-03 4.0000e-03 4.0000e-03 4.0000e-03
 4.0000e-03 4.0000e-03 4.0000e-03 4.7580e+00 1.2420e+00 2.8220e+00
 1.3720e+00]",8
Li5La3Nb2O12 ,"[1.0320e+00 1.8528e+01 8.7720e+00 1.5090e+00 1.2000e-02 1.2000e-02
 4.9800e+00 2.6400e+00 6.6600e+00 3.8520e+00 3.7560e+00 2.4720e+00
 4.2720e+00 4.0320e+00 2.7840e+00 4.2360e+00 6.2280e+00 5.8200e+00
 9.6840e+00 9.2040e+00 3.7800e+00 4.5240e+00 3.9275e-01 6.0960e+00
 1.2000e-02 1.2000e-02 1.2000e-02 1.2000e-02 1.2000e-02 1.2000e-02
 1.3560e+00 2.0520e+00 1.8720e+00 3.6360e+00 1.0440e+00 1.8000e+00
 1.6920e+00]",24
LiF,"[1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 1.000e-03 3.990e-01 1.989e+00 9.950e-01 1.000e-03
 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 3.430e-01
 5.130e-01 6.910e-01 1.000e-03 1.000e-03 1.000e-03 1.337e+00 2.130e-01
 3.610e-01 6.110e-01]",2
LiFePO4 ,"[4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03 1.919e+00
 1.624e+00 2.356e+00 3.788e+00 4.280e-01 3.732e+00 2.548e+00 1.888e+00
 4.000e-03 4.000e-03 4.000e-03 2.048e+00 5.768e+00 4.084e+00 1.612e+00
 2.324e+00 8.600e-01 3.404e+00 4.000e-03 4.000e-03 4.000e-03 1.092e+00
 1.308e+00 7.720e-01 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03
 4.000e-03 4.000e-03]",8
Li10GeP2S12,"[5.328 3.864 1.568 0.212 0.016 0.016 2.72  1.872 5.644 4.388 1.744 4.532
 4.404 2.156 4.384 2.256 3.056 8.143 6.704 6.372 4.328 5.704 0.016 2.512
 0.884 3.156 5.328 0.352 1.328 1.792 1.44  2.216 3.824 2.924 0.204 1.036
 0.556]",32
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li3PO4,"[1.200e-02 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03 5.700e+00
 6.140e+00 7.240e-01 2.676e+00 6.276e+00 2.380e+00 4.028e+00 4.092e+00
 3.720e-01 2.060e+00 2.540e+00 4.000e-03 4.000e-03 4.000e-03 4.000e-03
 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03
 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03
 4.000e-03 4.000e-03]",8
LiAlSi2O6,"[2.492 1.852 0.252 0.012 0.004 0.004 0.418 0.028 1.172 0.82  0.884 0.372
 1.252 1.26  2.38  0.628 0.82  1.732 0.788 0.724 0.954 1.708 0.004 0.004
 0.004 0.004 0.004 0.004 0.004 0.004 0.586 0.612 0.62  0.004 0.004 0.004
 0.004]",8
LiF,"[4.4000e-02 1.1480e+00 6.2600e+00 7.0680e+00 3.2400e-01 4.4000e-02
 4.0000e-03 4.0000e-03 4.0000e-03 3.6600e+00 2.2040e+00 5.4840e+00
 3.6200e+00 2.4280e+00 4.0000e-03 4.0000e-03 4.0000e-03 1.9400e+00
 4.1000e+00 3.5720e+00 4.0000e-03 4.0000e-03 6.8675e-01 2.8920e+00
 4.0000e-03 4.0000e-03 4.0000e-03 9.6400e-01 1.6360e+00 1.2280e+00
 4.0000e-03 4.0000e-03 4.0000e-03 2.3240e+00 6.6000e-01 1.1320e+00
 1.1880e+00]",8
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li3PO4,"[2.610e-01 6.000e-03 6.000e-03 6.000e-03 6.000e-03 6.000e-03 8.334e+00
 8.758e+00 1.158e+00 3.734e+00 9.494e+00 2.778e+00 6.474e+00 6.566e+00
 5.020e-01 1.614e+00 2.150e+00 1.518e+00 7.620e-01 9.740e-01 6.000e-03
 6.000e-03 1.950e-02 2.130e+00 6.000e-03 6.000e-03 6.000e-03 6.000e-03
 6.000e-03 6.000e-03 6.000e-03 6.000e-03 6.000e-03 1.354e+00 3.900e-01
 6.740e-01 5.420e-01]",12
Li3N,"[5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04
 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04
 5.000e-04 5.000e-04 5.000e-04 2.005e-01 9.995e-01 5.005e-01 5.000e-04
 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04
 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04 5.000e-04
 5.000e-04 5.000e-04]",1
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiZr2(PO4)3,"[6.0000e-03 5.1900e-01 5.9100e+00 1.1994e+01 1.3620e+00 1.8300e-01
 5.2140e+00 3.3180e+00 6.4980e+00 4.0020e+00 2.5020e+00 5.5740e+00
 6.5460e+00 6.5700e+00 6.0000e-03 6.0000e-03 6.0000e-03 6.0000e-03
 6.0000e-03 6.0000e-03 2.4660e+00 2.1660e+00 6.0000e-03 6.0000e-03
 1.5420e+00 1.5300e+00 1.5060e+00 6.0000e-03 6.0000e-03 6.0000e-03
 1.2510e+00 1.3980e+00 1.2510e+00 6.0000e-03 6.0000e-03 6.0000e-03
 6.0000e-03]",12
Li7La3Zr2O12 ,"[ 3.066    2.01     0.162    0.018    0.018    0.018    0.018    0.018
  0.018    8.922   16.086    9.5025  13.56    13.626    5.274    8.25
  7.914    7.842   10.842    5.226    0.018    0.018    6.17175 14.28
  0.018    0.018    0.018    5.0385   6.816    7.776    3.21     3.282
  3.402    0.018    0.018    0.018    0.018  ]",36
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li10GeP2S12,"[1.114e+01 2.900e+00 7.550e-01 1.547e+00 2.010e+01 9.972e+00 3.172e+00
 2.740e+00 8.260e+00 7.172e+00 3.059e+00 7.300e+00 6.616e+00 5.288e+00
 7.716e+00 5.012e+00 4.564e+00 5.396e+00 3.732e+00 5.284e+00 4.964e+00
 4.324e+00 2.450e-02 1.076e+00 2.344e+00 4.308e+00 4.436e+00 1.724e+00
 4.332e+00 4.792e+00 2.000e-02 2.000e-02 2.000e-02 5.264e+00 7.430e-01
 2.056e+00 1.908e+00]",40
LiZr2(PO4)3,"[0.17  0.004 0.004 0.004 0.004 0.004 0.004 0.004 0.004 3.124 3.596 2.932
 3.932 3.9   0.004 0.004 0.004 0.004 0.004 0.004 0.004 0.004 0.004 0.004
 0.004 0.004 0.004 1.524 1.428 1.42  0.004 0.004 0.004 3.132 1.108 1.364
 1.332]",8
LiF,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiAlH4,"[1.130e-01 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 1.578e+00
 2.434e+00 8.220e-01 1.394e+00 7.580e-01 1.374e+00 7.260e-01 2.000e-03
 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 1.218e+00 6.020e-01
 9.380e-01 6.420e-01]",4
LiFePO4 ,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li10GeP2S12,"[5.968 5.216 0.912 0.064 0.016 0.016 0.016 0.016 0.016 7.192 2.046 7.448
 6.284 3.256 0.016 0.016 0.016 9.096 6.27  6.496 3.04  2.512 0.525 3.6
 0.802 3.2   5.104 0.492 1.328 1.744 1.084 2.13  2.976 6.232 0.719 2.364
 2.004]",32
Li4SiS4,"[5.088 0.016 0.016 0.016 2.464 7.472 0.016 0.016 0.016 8.595 2.336 7.944
 8.38  7.16  4.928 2.848 3.104 9.052 7.184 6.866 3.536 2.976 0.016 2.896
 0.812 3.352 5.464 0.016 0.016 0.016 1.    0.872 2.112 5.48  0.808 2.5
 2.076]",32
LiFePO4 ,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li10GeP2S12,"[13.28   5.554  1.058  0.082  0.018  0.018  1.034  0.546  0.538  1.758
  1.09   1.454  2.058  2.086  0.018  0.018  0.018  8.578  4.178  4.49
  3.392  2.968  0.018  2.69   0.794  3.434  5.458  0.05   0.184  0.096
  2.146  3.632  4.738  0.018  0.018  0.018  0.018]",36
Li7La3Zr2O12 ,"[1.0782e+01 3.6366e+01 2.6094e+01 5.5020e+00 3.0000e-02 3.0000e-02
 5.4600e-01 3.8700e+00 1.5198e+01 1.6890e+01 6.3780e+00 1.3638e+01
 1.6062e+01 1.4826e+01 9.5820e+00 7.0380e+00 8.3820e+00 3.0000e-02
 3.0000e-02 3.0000e-02 5.3580e+00 5.5500e+00 3.2110e+00 1.3482e+01
 3.8220e+00 5.2620e+00 4.0620e+00 3.7740e+00 4.4940e+00 4.2900e+00
 3.0000e-02 3.0000e-02 3.0000e-02 3.8100e+00 2.2740e+00 5.1180e+00
 2.0940e+00]",60
